Descriptor,Title,TE,acq,pacq,par,sen,typ,ptyp,etc,b,d,x,val,pval,sel,in,sep,edadd,ttt,EntryDate,UpdateDate,Language,EngSource,Source,TotBlks,TotPars,TotSent,ITS,Translator,MultiBLEU,CT+VT,BLEU,secPerSen,percTopEdits,todxx,todver,Notes
1962-0704,WeWouldSeeJesus,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/14/16,7/22/17,AFR,o1,o7,105,255,1564,,MT,NA,101964,NA,65.1943734,,,,No todxo avail
1962-0705,JehovahJireh1 [linoli],linoli,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/17/16,3/24/17,AFR,o1,o7,104,232,1474,,MT,NA,46403,NA,31.48100407,,,,No todxo avail
1962-0706,JehovahJireh2 [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/6/15,7/30/17,AFR,o1,o7,96,222,1543,,MT,NA,80812,NA,52.37329877,,,,No todxo avail
1962-0707,JehovahJireh3 [linoli],linoli,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/6/15,7/8/17,AFR,o1,o7,96,230,1492,,MT,NA,130580,NA,87.52010724,,,,No todxo avail
1962-0708,ASuperSign [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,10/8/16,,AFR,o1,o7,98,266,1665,,MT,NA,130443,NA,78.34414414,,,,No todxo avail
1965-1127z,IHaveHeardButNowISee,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,4/4/16,,AFR,,o7,108,243,1332,,MT,NA,114616,NA,86.04804805,,,,No todxo avail
1965-1128x,GodsOnlyProvidedPlaceOfWorship,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/13/16,,AFR,o1,o7,,292,1564,,MT,NA,87390,NA,55.87595908,,,,No todxo avail
1965-1206,ModernEventsAreMadeClearByProphecy,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/24/15,,AFR,o1,o7,120,331,1616,,MT,NA,,NA,,,,,no time
1960-0305,BeNotAfraidItIsI,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/14/17,1/14/17,CHN,o2,o10,80,80,1329,,MT,NA,,NA,,,,,No todxo avail
1947-1123,TheChildrenOfIsrael,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/11/16,7/30/17,GER,o1,o11,77,77,1162,,MT,NA,191460,NA,164.767642,,,,No todxo avail
1965-1121,WhatHouseWillYouBuildMe,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/11/16,1/14/17,IBO,o1,o11,24,46,221,,MT,NA,,NA,,,,,No todxo avail
1965-1121,WhatHouseWillYouBuildMe,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/11/16,7/30/17,KIN,o1,elikwi,24,46,221,,NT,NA,,NA,,,,,no times
1949-0718,IWasNotDisobedientToTheHeavenlyVision [lazbet],lazbet,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,2/3/17,2/26/18,GER,o9,o11,33,33,700,0,MT,"BLEU = 50.81, 79.1/58.6/45.9/36.5 (BP=0.963, ratio=0.963, hyp_len=9988, ref_len=10368)",70829,50.81,101.1842857,19,todgo,2017,
1950-0110,"Moses [lidsur,tobwul]",tobwul,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,5/20/17,4/12/18,GER,o9,o12,57,57,888,0,MT,"BLEU = 41.83, 74.5/49.3/34.7/24.4 (BP=0.996, ratio=0.996, hyp_len=12565, ref_len=12615)",53572,41.83,60.32882883,18,todbo,2017,
1950-0115,BelievestThouThis [jonsch],jonsch,1,1,1,1,1,1,,1,b,B123,1,1,1,1,1,1,1,5/22/17,6/8/18,GER,o9,o12,67,67,1006,0,MT,"BLEU = 43.11, 73.9/49.6/36.4/27.0 (BP=0.989, ratio=0.989, hyp_len=13553, ref_len=13697)",40304,43.11,40.06361829,19,todbo,2017,
1955-0612,ThePresenceOfTheLordJesus [dawnxu],dawnxu,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,12/30/17,12/16/18,CHN,o9,o10,93,93,2011,0,HT,"BLEU = 99.60, 99.9/99.7/99.6/99.4 (BP=1.000, ratio=1.000, hyp_len=11468, ref_len=11470)",17842,99.6,8.872202884,99,chnunp,,
1955-0807z,LeadingOfTheSpiritOfGod [dawnxu],dawnxu,1,1,1,1,1,1,,,,B123,1,1,1,1,1,1,1,6/29/18,1/13/19,CHN,o9,o10,73,73,1501,0,HT,"BLEU = 99.66, 99.9/99.7/99.6/99.5 (BP=1.000, ratio=1.000, hyp_len=8259, ref_len=8260)",9567,99.66,6.373750833,99,chnunp,,
1955-1004,"ComeLetUsReasonTogether [dawnxu, estzhe]",dawnxu,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,2/17/18,1/12/19,CHN,o9,o10,108,108,1502,0,HT,"BLEU = 99.18, 99.7/99.3/99.0/98.7 (BP=1.000, ratio=1.000, hyp_len=8914, ref_len=8914)",7420,99.18,4.940079893,99,chnunp,,
1955-1006z,ThePowerOfGod [daisli],daisli,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,8/19/17,4/24/18,CHN,o9,o10,77,77,1625,0,HT,"BLEU = 83.80, 92.7/84.5/81.5/77.3 (BP=1.000, ratio=1.007, hyp_len=8903, ref_len=8842)",49794,83.8,30.64246154,75,chnunp,,
1955-1114,TheDarkestHourThenJesusComesAlong [estzhe],estzhe,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,6/9/17,12/28/17,CHN,o9,o10,,116,1816,0,HT,"BLEU = 81.90, 92.9/83.9/80.1/75.1 (BP=0.990, ratio=0.990, hyp_len=9600, ref_len=9700)",31837,81.9,17.53138767,71,chnunp,,
1955-1116,TheCallingOfAbraham [estzhe],estzhe,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,4/22/17,11/18/17,CHN,o9,o10,,59,1247,0,HT,"BLEU = 81.14, 92.7/83.1/79.1/73.7 (BP=0.991, ratio=0.991, hyp_len=7172, ref_len=7234)",29058,81.14,23.30232558,70,chnunp,,
1955-1118,TheFaithOfAbraham [estzhe],estzhe,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,4/1/17,3/19/18,CHN,o9,o10,82,82,1332,0,HT,"BLEU = 79.04, 91.4/81.8/77.0/70.7 (BP=0.989, ratio=0.989, hyp_len=7931, ref_len=8018)",41392,79.04,31.07507508,69,chnunp,,
1956-1207,Gifts [daisli],daisli,1,1,1,1,1,1,,1,b,B123,1,1,1,1,1,1,1,3/27/17,11/18/17,CHN,o1,o10,83,83,1499,0,HT,"BLEU = 84.92, 92.6/85.4/82.7/79.4 (BP=1.000, ratio=1.015, hyp_len=8229, ref_len=8105)",113687,84.92,75.8418946,77,chnunp,,
1957-0419,ThePerfection,estzhe,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,3/5/17,4/19/17,CHN,o9,"o10,o12",60,116,645,0,HT,"BLEU = 6.19, 50.8/6.5/3.6/1.2 (BP=1.000, ratio=1.023, hyp_len=4036, ref_len=3947)",26435,6.19,40.98449612,61,chnunp,,
1963-0707z,Communion [engest],engest,1,1,1,1,1,1,,,,b,1,1,1,1,1,1,1,12/31/16,1/20/17,AFR,o9,o7,14,14,141,0,MT,"BLEU = 71.24, 92.1/75.6/65.3/56.7 (BP=1.000, ratio=1.005, hyp_len=3304, ref_len=3289)",5097,71.24,36.14893617,29,todmo,2.0.0,
1963-0728,ChristIsTheMysteryOfGodRevealed [pitrai],pitrai,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,5/6/17,2/25/18,FIJ,o1,o12,306,642,3714,0,MT,"BLEU = 59.88, 84.1/67.1/58.0/51.8 (BP=0.933, ratio=0.935, hyp_len=66559, ref_len=71153)",192014,59.88,51.70005385,37,todbo,2017,
1965-0119,TheGodWhoIsRichInMercy [tilvan],tilvan,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,3/1/18,8/30/18,AFR,o1,o7,80,224,1197,0,MT,"BLEU = 87.22, 96.2/89.8/85.1/80.8 (BP=0.994, ratio=0.994, hyp_len=19672, ref_len=19799)",42180,87.22,35.23809524,57,todmo,2.0.0,
1965-0218,TheSeedIsNotHeirWithTheShuck [tilvan],tilvan,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,3/1/18,6/9/18,AFR,o1,o7,81,175,1148,0,MT,"BLEU = 87.99, 96.7/90.5/86.1/82.1 (BP=0.992, ratio=0.992, hyp_len=19882, ref_len=20039)",38770,87.99,33.771777,57,todmo,2.0.0,
1965-0221z,WhoIsThisMelchisedec? [pitrai],pitrai,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,3/28/18,12/17/18,FIJ,o1,o14,79,197,1508,0,MT,"BLEU = 89.75, 96.1/92.1/89.2/86.5 (BP=0.987, ratio=0.987, hyp_len=27299, ref_len=27653)",33402,89.75,22.14986737,65,todbo,2018,
1965-0221z,WhoIsThisMelchisedec? [tilvan],tilvan,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,3/1/18,7/18/18,AFR,o1,o7,132,197,1508,0,MT,"BLEU = 86.52, 96.2/89.3/84.3/79.8 (BP=0.992, ratio=0.992, hyp_len=22953, ref_len=23129)",50066,86.52,33.20026525,58,todmo,2.0.0,
1965-0418x,ItIsTheRisingOfTheSun [pitrai],pitrai,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,3/28/18,12/21/18,FIJ,o1,o14,132,363,1870,0,MT,"BLEU = 89.01, 95.8/91.4/88.1/85.3 (BP=0.989, ratio=0.989, hyp_len=35732, ref_len=36145)",55760,89.01,29.81818182,61,todbo,2018,
1965-0718x,TryingToDoGodAServiceWithoutBeingTheWillOfGod [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/30/18,12/16/18,AFR,o1,o7,108,207,1697,0,MT,"BLEU = 87.92, 96.8/90.6/86.1/81.9 (BP=0.991, ratio=0.991, hyp_len=25930, ref_len=26154)",50025,87.92,29.47849146,62,todmo,2.0.0,
1965-0718z,SpiritualFoodInDueSeason [tilvan],tilvan,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,2/25/18,7/18/18,AFR,o1,o7,82,225,1294,0,MT,"BLEU = 88.49, 96.6/90.7/86.4/82.8 (BP=0.994, ratio=0.994, hyp_len=19972, ref_len=20086)",34329,88.49,26.52936631,63,todmo,2.0.0,
1965-0725x,TheAnointedOnesAtTheEndTime [pitrai],pitrai,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,3/28/18,1/1/19,FIJ,o1,o14,206,287,2677,0,MT,"BLEU = 83.10, 93.7/86.6/81.5/77.4 (BP=0.983, ratio=0.983, hyp_len=46815, ref_len=47635)",95135,83.1,35.53791558,48,todbo,2018,
1965-0725x,TheAnointedOnesAtTheEndTime [linoli],linoli,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,2/24/18,8/29/18,AFR,o1,o7,206,287,2677,0,MT,"BLEU = 87.92, 96.5/90.3/85.8/81.9 (BP=0.994, ratio=0.994, hyp_len=39671, ref_len=39914)",368966,87.92,137.8281659,63,todmo,2.0.0,
1965-0725z,WhatIsTheAttractionOnTheMountain? [pitrai],pitrai,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,12/25/18,1/14/19,FIJ,o1,o14,,208,1183,0,MT,"BLEU = 77.62, 91.2/81.5/74.4/68.6 (BP=0.989, ratio=0.989, hyp_len=23626, ref_len=23887)",68800,77.62,58.15722739,35,todbo,2018,
1965-0725z,WhatIsTheAttractionOnTheMountain? [eliwal],eliwal,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,4/25/17,6/7/18,GER,o1,o12,105,208,1182,0,MT,"BLEU = 28.11, 61.7/33.3/21.5/14.8 (BP=0.988, ratio=0.988, hyp_len=18812, ref_len=19040)",197451,28.11,167.0482234,8,todbo,2017,
1965-0801z,EventsMadeClearByProphecy [pitrai],pitrai,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,3/28/18,1/14/19,FIJ,o1,o14,88,167,1197,0,MT,"BLEU = 80.70, 92.5/84.2/78.2/73.2 (BP=0.988, ratio=0.988, hyp_len=25124, ref_len=25438)",61632,80.7,51.4887218,39,todbo,2018,
1965-0822x,ChristIsRevealedInHisOwnWord [pitrai],pitrai,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,3/28/18,12/10/18,FIJ,o1,o14,129,177,1705,0,MT,"BLEU = 91.89, 96.7/93.3/90.9/88.8 (BP=0.995, ratio=0.995, hyp_len=33380, ref_len=33557)",43714,91.89,25.63870968,67,todbo,2018,
1965-0822x,ChristIsRevealedInHisOwnWord [tilvan],tilvan,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,1/5/18,4/24/18,AFR,o1,o7,129,177,1705,1,MT,"BLEU = 89.21, 96.7/91.0/87.0/83.2 (BP=0.998, ratio=0.998, hyp_len=27996, ref_len=28041)",65374,89.21,38.34252199,62,todmo,2.0.0,
1965-0822z,AThinkingMan'sFilter [tilvan],tilvan,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,6/9/18,11/28/18,AFR,o1,o7,94,213,1363,0,MT,"BLEU = 85.17, 95.3/88.1/82.8/78.1 (BP=0.992, ratio=0.992, hyp_len=23391, ref_len=23578)",45610,85.17,33.46294938,50,todmo,2.0.0,
1965-0829,SatansEden [tilvan],tilvan,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,12/30/17,1/27/18,AFR,o1,o7,100,204,1093,1,MT,"BLEU = 89.26, 96.6/91.3/87.4/83.8 (BP=0.996, ratio=0.996, hyp_len=18373, ref_len=18451)",35358,89.26,32.3494968,64,todmo,2.0.0,
1965-0911,GodsPowerToTransform [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,10/15/17,12/31/17,AFR,o1,o7,132,283,1639,1,MT,"BLEU = 89.63, 96.8/91.7/87.8/84.3 (BP=0.996, ratio=0.996, hyp_len=27151, ref_len=27270)",70283,89.63,42.88163514,63,todmo,2.0.0,
1965-1031x,PowerOfTransformation,linoli,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,12/17/16,12/17/16,AFR,o1,o7,,332,1835,0,MT,"BLEU = 64.20, 89.5/69.6/58.0/49.0 (BP=0.990, ratio=0.990, hyp_len=31544, ref_len=31868)",324780,64.2,176.9918256,26,todmo,1.0.0,
1965-1125,InvisibleUnionOfTheBrideOfChrist [pitrai],pitrai,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,3/28/18,11/28/18,FIJ,o1,o14,157,392,2418,0,MT,"BLEU = 71.32, 88.1/75.6/67.1/60.5 (BP=0.989, ratio=0.989, hyp_len=41316, ref_len=41769)",138774,71.32,57.39205955,32,todbo,2018,
1965-1125,InvisibleUnionOfTheBrideOfChrist [tilvan],tilvan,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,7/30/17,11/4/17,AFR,o1,o7,157,392,2418,1,MT,"BLEU = 89.10, 96.7/91.3/87.2/83.4 (BP=0.995, ratio=0.995, hyp_len=34632, ref_len=34796)",88804,89.1,36.72622002,67,todmo,2.0.0,
1965-1128z,"OnTheWingsOfASnow-WhiteDove [estjur,tilvan]",tilvan,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,5/10/17,4/21/18,AFR,o1,o7,100,313,1426,0,MT,"BLEU = 84.44, 94.9/86.9/81.2/76.2 (BP=0.999, ratio=0.999, hyp_len=25004, ref_len=25020)",89318,84.44,62.63534362,52,todmo,2.0.0,
1965-1204,TheRapture [ratdui],ratdui,1,1,1,1,1,1,,1,b,B123,1,1,1,1,1,1,1,7/4/17,1/1/19,FIJ,o1,o12,115,213,1760,0,MT,"BLEU = 63.06, 81.5/66.6/57.5/50.7 (BP=1.000, ratio=1.021, hyp_len=31095, ref_len=30451)",209579,63.06,119.0789773,28,todbo,2017,
1965-1205,ThingsThatAreToBe [elsvan],elsvan,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,2/18/17,3/18/18,AFR,o1,o7,111,164,2139,0,MT,"BLEU = 92.80, 98.1/94.1/91.4/89.1 (BP=0.997, ratio=0.997, hyp_len=30719, ref_len=30822)",56309,92.8,26.32491819,78,todmo,2.0.0,
1965-1205,ThingsThatAreToBe [pitrai],pitrai,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,7/3/17,6/9/18,FIJ,o1,o12,111,164,2139,0,MT,"BLEU = 72.20, 87.9/75.9/67.9/61.4 (BP=0.994, ratio=0.994, hyp_len=36337, ref_len=36554)",146353,72.2,68.42122487,34,todbo,2017,
1965-1206,"ModernEventsAreMadeClearByProphecy [vatkau,simvak,pitrai]",pitrai,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,2/23/17,12/9/18,FIJ,o1,o12,120,331,1711,0,MT,"BLEU = 86.05, 94.1/88.3/84.4/81.4 (BP=0.990, ratio=0.990, hyp_len=34689, ref_len=35033)",154351,86.05,90.21098773,59,todbo,2017,
1965-1207,Leadership [tobwul],tobwul,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,9/18/17,2/10/18,GER,o1,o12,121,342,1758,0,MT,"BLEU = 46.81, 76.6/53.2/39.9/30.8 (BP=0.989, ratio=0.990, hyp_len=27188, ref_len=27476)",125021,46.81,71.11547213,15,todbo,2017,
1964-0216,Identification [davmwa],davmwa,1,1,1,1,1,1,,1,E1R,B123E1R,1,1,1,1,1,1,1,10/20/18,12/22/18,BEM,,o13,97,252,1360,0,NT,,207075,0,152.2610294,0,todno,1.0.0,
1965-0219,ThisDayThisScriptureIsFulfilled [julmuk],julmuk,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,7/9/18,7/9/18,LUG,o1,o13,68,259,1061,0,NT,,68776,0,64.82186616,0,todno,1.0.0,
1965-0426,"ProvingHisWord [davmwa, marmwa]",davmwa,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,7/19/18,9/23/18,BEM,o1,o13,103,377,1852,0,NT,,170132,0,91.86393089,0,todno,1.0.0,
1965-0801z,EventsMadeClearByProphecy [mosart],mosart,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,3/13/18,4/24/18,TWI,o1,o13,88,167,1197,0,NT,,118899,0,99.33082707,0,todno,1.0.0,
1965-0822x,ChristIsRevealedInHisOwnWord [davmwa],davmwa,1,1,1,1,1,1,1,1,E1R,B123E1R,1,1,1,1,1,1,1,5/2/18,6/18/18,BEM,o1,o13,129,177,1705,0,NT,,140776,0,82.56656891,0,todno,1.0.0,
1965-1121,WhatHouseWillYouBuildMe [davmwa],davmwa,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,10/20/18,10/20/18,BEM,o1,o13,24,46,233,0,NT,,36045,0,154.6995708,0,todno,1.0.0,
1965-1204,TheRapture [mosart],mosart,1,1,1,1,1,1,,1,b,B123,1,1,1,1,1,1,1,2/16/18,3/19/18,TWI,o1,mosart,115,213,1760,0,NT,,168875,0,95.95170455,0,todno,1.0.0,
1965-1205,ThingsThatAreToBe [mosart],mosart,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/17/17,2/23/18,TWI,o1,o13,111,164,2139,0,NT,,312411,0,146.0546985,0,todno,1.0.0,